position;company;comp_link;sal_from;sal_to;sal_curr;sal_tax
Middle Full Stack developer (Python, JS);АО РТСофт;https://hh.ru/employer/7452?hhtmFrom=vacancy_search_list;;;;
Разработчик системы производственного планирования (Python);Ресурс, ГАП;https://hh.ru/employer/50545?hhtmFrom=vacancy_search_list;;;;
Python Developer;НТР;https://hh.ru/employer/747275?hhtmFrom=vacancy_search_list;;;;
Senior QAA Python в 2GIS.PRO;2ГИС;https://hh.ru/employer/64174?hhtmFrom=vacancy_search_list;;;;
Python backend-разработчик;ООО Компания Стрим Лабс;https://hh.ru/employer/484411?hhtmFrom=vacancy_search_list;;;;
Инженер по автоматизации тестирования (Python, Склад, Отдел тестирования);Ozon Информационные технологии;https://hh.ru/employer/2180?dpt=ozonru-2180-dev&hhtmFrom=vacancy_search_list;;;;
Backend-разработчик (Python) в финансовый блок.;билайн: ИТ, Data, Digital;https://hh.ru/employer/4934?dpt=bil-4934-it&hhtmFrom=vacancy_search_list;;;;
Разработчик Python (техлид);ООО ГК Иннотех | Финтех (Иннотех);https://hh.ru/employer/4649269?dpt=4649269-4649269-innoteh&hhtmFrom=vacancy_search_list;;;;
Middle QA Automation Engineer (Python);Сбер для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof&hhtmFrom=vacancy_search_list;;;;
Full stack QA Engineer (Python);ScanFactory;https://hh.ru/employer/5580158?hhtmFrom=vacancy_search_list;200000;250000;₽;на руки
Разработчик Python full stack (middle);Delko;https://hh.ru/employer/1083758?hhtmFrom=vacancy_search_list;200000;0;₽;до вычета налогов
Middle Python Developer;ЗАО Группа компаний С7;https://hh.ru/employer/766468?hhtmFrom=vacancy_search_list;;;;
DevOps-инженер;ПАО «Промсвязьбанк», ИТ;https://hh.ru/employer/6591?dpt=6591-6591-it&hhtmFrom=vacancy_search_list;;;;
Администратор OpenSource;ПАО «Промсвязьбанк», ИТ;https://hh.ru/employer/6591?dpt=6591-6591-it&hhtmFrom=vacancy_search_list;;;;
Python Developer в команду сервисов данных Почты;VK, ВКонтакте;https://hh.ru/employer/15478?dpt=mailru-15478-vkontakt&hhtmFrom=vacancy_search_list;;;;
Python-разработчик системы логистических операций в Яндекс.Лавку;Яндекс;https://hh.ru/employer/1740?dpt=yandex-1740-yandex&hhtmFrom=vacancy_search_list;;;;
Менеджер по обработке данных (SPSS, R, Python);ORO;https://hh.ru/employer/7312?hhtmFrom=vacancy_search_list;;;;
Разработчик Python;HARTUNG;https://hh.ru/employer/553700?hhtmFrom=vacancy_search_list;;;;
Backend-тестировщик-программист (Python);ООО Ритм;https://hh.ru/employer/4576177?hhtmFrom=vacancy_search_list;;;;
Python разработчик;ООО Люди ПРО Групп;https://hh.ru/employer/9083873?hhtmFrom=vacancy_search_list;150000;0;₽;на руки
Senior Python developer (remote);Bright Pattern, Inc;https://hh.ru/employer/816284?hhtmFrom=vacancy_search_list;;;;
Специалист технической поддержки (python);SPTLab;https://hh.ru/employer/5188110?hhtmFrom=vacancy_search_list;100000;100000;₽;на руки
Программист C/C++, Python;АО Синтелс;https://hh.ru/employer/1060997?hhtmFrom=vacancy_search_list;;;;
Senior C++/Python developer;Бюро 1440;https://hh.ru/employer/5266429?hhtmFrom=vacancy_search_list;;;;
